timestamp[ns],x[m/s^2],y[m/s^2],z[m/s^2]
865506554710838,8.657698,0.4070267,-2.5235655
865506556712838,8.657698,0.4070267,-2.5235655
865506558713838,8.657698,0.4070267,-2.5235655
865506560715171,8.657698,0.4070267,-2.5235655
865506562716671,10.462981,-1.8531687,3.668029
865506564718071,10.43425,-0.9720756,2.4972286
865506566719571,10.340873,0.46209505,2.3416007
865506568720999,9.660899,0.9433443,3.6201434
865506570741499,9.481328,1.4581133,2.4684973
865506572742943,10.362421,2.0279508,-2.8803127
865506574764243,11.157321,0.845179,-4.922629
865506576765606,11.322526,-0.5458947,0.090982445
865506578783022,11.219572,-1.4341706,3.3735332
865506580784406,12.16531,-3.3328304,-0.41420954
865506582785763,12.091087,-2.7653873,-2.7175019
865506584786496,10.525232,0.33519846,-8.516436
865506586792308,10.08708,3.4333901,-9.7135725
865506588793660,10.290593,4.338426,-9.2419
865506590795048,10.206794,3.0000262,-5.1045938
865506592796416,9.862018,-0.9960183,-2.3583608
865506594797266,9.490906,-2.6504622,4.6736245
865506596798646,8.480521,-3.8236568,4.608979
865506598800009,8.296163,-3.8308396,0.44772938
865506600801356,8.08786,-2.8539755,-3.519584
865506602806147,7.9394155,-1.3072741,-3.4573328
865506604807507,7.328875,-0.45970076,-1.8268317
865506606808468,5.643306,2.578634,-1.7550035
865506608809838,5.0207944,3.459727,0.2466103
865506610810873,4.2211065,4.63771,1.5754328
865506612812217,3.4716985,4.8340406,-3.1676257
865506614813583,2.9066496,4.2211065,-5.2578273
865506616814916,3.0527003,4.1397014,-5.9665327
865506618816282,3.1412885,3.9864676,-4.0726614
865506620817648,3.5004299,3.5602865,0.3423813
865506622818981,3.7925313,3.0527003,2.7510219
865506624820647,5.5738716,1.7502149,-0.2753416
865506626821980,6.5124273,1.6448668,-1.1205206
865506628823313,7.211556,1.4150164,-1.9178141
865506630819546,8.681641,0.31604427,-3.0455174
865506632820879,10.800573,-2.1380875,-0.03351985
865506634815579,11.875603,-3.6560576,2.9928436
865506636820879,13.496527,-6.229903,7.987301
865506638815812,13.944257,-5.8180876,4.2474437
865506640816845,14.504517,-4.7622128,-0.28252444
865506642818211,15.222799,-3.4573328,-5.7103453
865506644819644,15.69926,-2.8372157,-5.355993
865506646818610,14.705636,-2.423006,-0.38068968
865506648819910,14.41114,-2.2937152,0.047885496
865506650821243,13.640183,-1.6281068,-1.1540405
865506652822576,13.051192,-1.0032011,-2.5331428
865506654828976,12.670503,-0.18675344,-6.2059603
865506656830309,11.964191,-0.93616146,-4.9872746
865506658831575,11.514068,-1.4605076,-2.9401696
865506660832941,10.1206,-1.6352897,3.8308396
865506662831207,9.335278,-1.5395187,3.8045027
865506664832540,9.25866,-1.1875603,1.0726352
865506666839440,8.825297,0.63208854,-1.6065584
865506668840773,8.2578535,1.1947432,0.20590763
865506670848206,7.802942,1.6281068,0.31125572
865506672849572,7.74069,2.1931558,-1.5443072
865506674850738,8.372779,2.8013015,-2.727079
865506676852071,10.199611,2.4876516,-1.23784
865506678853137,10.199611,2.4876516,-1.23784
865506680854470,11.45421,0.8356019,2.6193366
865506682855803,12.280235,-0.22027329,3.4645157
865506684856836,13.762292,-1.5610672,4.6113734
865506686858169,14.516488,-1.7813405,4.2474437
865506688859735,14.952246,-1.6137413,3.0622776
865506690861101,15.277867,-1.1947432,1.3360053
865506692862367,14.777464,-1.3791022,3.0455174
865506694863700,14.832533,-1.6065584,2.743839
865506696861100,13.836514,-1.6424725,3.1149516
865506698862566,13.836514,-1.7454263,1.4796618
865506700869599,13.170906,-1.5371244,0.7805336
865506702870932,11.947432,-1.3216397,0.9864412
865506704872198,10.510866,-0.8978531,3.1077688
865506706878164,7.9609637,0.03351985,3.3687446
865506708879564,6.8907228,0.67757976,2.5762396
865506710880564,6.2155375,2.2123098,-1.673598
865506712886830,5.97611,2.3679378,-3.093403
865506714883463,4.8412237,1.7023294,-1.8340145
865506716889496,5.28177,0.50998056,-1.5395187
865506718890929,5.5571117,0.043096945,-0.31604427
865506720892262,6.969734,-0.9505271,-2.0614705
865506722893928,8.612206,-1.6233183,-4.5084195
865506724895228,10.759871,-2.073442,-4.9800916
865506726891328,11.892363,-0.7972935,-4.905869
865506728892328,12.304178,-0.24182175,-4.206741
865506730887894,12.213196,0.05506832,-0.011971374
865506732889227,11.2004175,-0.08858817,1.812466
865506734890727,11.11183,-0.26097596,-0.53392327
865506736896993,10.460587,0.77574503,-8.521224
865506738898559,9.77343,0.9217958,-6.8021345
865506740900559,9.177256,0.6249057,-2.5475085
865506742901925,7.649708,-0.23224466,4.6832013
865506744903025,7.170853,-0.9217958,2.9689007
865506746904358,6.672844,-0.10774237,-0.82602483
865506748905491,6.1892004,0.45970076,-2.9928436
865506750906824,5.1429024,1.8148603,-4.0128045
865506752908224,5.3919067,1.9273912,-4.62095
865506754909590,6.3208857,0.2370332,-2.4996228
865506756910923,7.518023,-1.0055954,0.18914771
865506758912156,7.518023,-1.0055954,0.18914771
865506760908989,6.735095,-0.22266756,2.1452703
865506762910322,6.6225643,0.7446195,1.9537282
865506764911955,6.6800265,1.1253091,-0.32083282
865506766911855,8.107015,0.65363705,-8.892337
865506768913188,8.48531,0.42618093,-8.152506
865506770914854,9.021627,0.11253092,-6.754249
865506772911287,10.161303,-0.5123748,-3.014392
865506774912587,11.526039,-1.6975409,-0.77574503
865506776909253,12.217984,-1.9561225,2.3368123
865506778915353,12.359246,-1.6568382,2.248224
865506780916686,12.704022,-0.81165916,-0.22506183
865506782918052,12.426287,-0.4189981,-0.5650489
865506784919452,11.870814,-0.11013664,-1.0462981
865506786920818,10.716774,0.2777359,2.7941186
865506788922518,10.6497345,-0.08858817,2.4996228
865506790923851,9.883567,0.24900457,1.5778271
865506792925184,10.3743925,-0.28731298,0.6368771
865506794926550,10.331296,-0.43336374,1.3575538
865506796922716,10.735929,-1.0223553,0.8739103
865506798923816,10.735929,-1.324034,-1.6831752
865506800925816,12.447835,-1.6999351,-3.9409764
865506802926849,13.142175,-2.3344178,-2.6432793
865506804930582,14.183684,-2.3799093,-4.8148866
865506806931615,13.793417,-1.812466,-2.3846977
865506808932648,13.522864,-1.9633054,-0.7685622
