timestamp[ns],latitude,longitude,altitude[m],bearing,speed[m/s]
865507693000000,48.0831495,11.6354481,592.0,0.0,0.0
865509465120374,48.0831049,11.6355965,592.0,252.87955,1.9899449
865510474940835,48.0828974,11.6365714,592.0,258.08096,1.6967121
865511483978526,48.0828617,11.6369891,592.0,279.83102,1.1295266
865512517717333,48.0828801,11.6370742,592.0,286.47522,0.9168817
865513232000000,48.0828883,11.6370913,592.0,287.04144,0.8943033
865513481114833,48.0828943,11.6370985,592.0,277.9629,0.5381015
865514470717678,48.0829052,11.6370997,592.0,281.5199,0.280348
865515538000000,48.0829095,11.6370983,592.0,282.35352,0.26989028
865516397000000,48.0829114,11.6370973,592.0,299.9189,0.54103374
865516699874023,48.0829137,11.6370949,592.0,307.2255,0.61521673
865517158000000,48.082917,11.6370923,592.0,325.2315,0.7291344
865517704592522,48.0829208,11.6370905,592.0,324.87534,0.7824414
865518235000000,48.0829254,11.6370888,592.0,342.6547,0.8271573
865518716869944,48.0829299,11.6370879,592.0,347.84488,0.87539995
865519436000000,48.0829338,11.6370866,592.0,349.581,0.89646846
865519699961520,48.0829371,11.6370856,592.0,349.02368,0.90233415
865520658000000,48.082943,11.6370828,592.0,349.20108,0.95515585
865521138000000,48.0829443,11.6370797,592.0,344.52695,0.9432404
865521691614750,48.0829462,11.637077,592.0,338.35605,0.93792593
865522576000000,48.0829498,11.6370701,592.0,328.24805,0.8973951
865523280000000,48.0829487,11.6370647,592.0,337.90118,0.21497086
865523704767402,48.0829475,11.6370519,592.0,336.80536,0.123799026
865524459000000,48.082948,11.6370328,592.0,295.7563,0.4525232
865524693282825,48.0829487,11.6370221,592.0,291.8993,0.513077
865525136000000,48.0829494,11.6370116,592.0,294.08807,0.70509523
865525693753478,48.0829502,11.6370018,592.0,295.97992,0.7572309
865526690624054,48.0829523,11.6369855,592.0,297.32074,0.8853115
865527399000000,48.0829533,11.6369759,592.0,298.18802,0.9215036
865527692793899,48.0829548,11.6369691,592.0,300.20883,0.93069416
865528249000000,48.0829561,11.6369613,592.0,299.30545,0.9406847
865528677000000,48.0829576,11.6369552,592.0,299.3811,0.9445561
865529217000000,48.0829587,11.6369487,592.0,298.30807,0.9250286
865529690109052,48.0829601,11.6369432,592.0,297.4434,0.9195927
865530438000000,48.0829609,11.6369369,592.0,296.09598,0.9130831
865530705333859,48.082962,11.6369311,592.0,295.5066,0.91264975
865531360000000,48.0829628,11.6369242,592.0,296.20337,0.94841075
865531715935127,48.0829643,11.6369181,592.0,296.09277,0.9521852
865532498000000,48.0829659,11.6369082,592.0,293.69952,0.9595981
865532713126434,48.0829675,11.6368994,592.0,293.1902,0.96168494
865533270000000,48.0829691,11.6368869,592.0,295.3598,0.9867466
865533732946895,48.0829707,11.6368782,592.0,295.75568,0.98911494
865534279000000,48.0829721,11.6368669,592.0,295.63293,0.9838987
865534720344164,48.0829737,11.6368589,592.0,294.26962,0.9827555
