timestamp[ns],x[m/s^2],y[m/s^2],z[m/s^2]
865506165303958,-2.3905125,-9.440896,1.1510857
865506175309958,-2.3868463,-9.422459,1.3001106
865506185356958,-2.4678874,-9.400959,1.3045491
865506195386624,-2.5556934,-9.3737955,1.3306088
865506205395624,-2.499826,-9.378614,1.4009017
865506215404224,-2.356946,-9.4119,1.4251169
865506225426390,-2.2334616,-9.442473,1.4217576
865506235434390,-2.2303758,-9.455976,1.3341593
865506245449515,-2.277936,-9.445752,1.3262637
865506255460737,-2.382523,-9.4222145,1.309818
865506265471837,-2.416083,-9.411437,1.3257811
865506275491109,-2.4003806,-9.418166,1.3063127
865506285498609,-2.3437672,-9.430617,1.3192135
865506295505993,-2.2900221,-9.4506855,1.2690037
865506305513350,-2.2438242,-9.470784,1.1998581
865506315520683,-2.1735795,-9.49462,1.1392611
865506325527933,-2.0080688,-9.536082,1.0958439
865506335535168,-1.7264097,-9.58901,1.1137577
865506345542390,-1.4692168,-9.636306,1.0738667
865506355554442,-1.2481847,-9.673045,1.0219203
865506365561142,-1.0587097,-9.703657,0.94248325
865506375574475,-0.78921735,-9.731454,0.9198238
865506385581611,-0.403647,-9.756867,0.9004722
865506395588654,-0.054066814,-9.771625,0.8261975
865506405595737,0.21185207,-9.776881,0.7334015
865506415602377,0.40227953,-9.777594,0.6379027
865506425609453,0.63451564,-9.768899,0.579668
865506435621971,0.9084952,-9.750827,0.5157346
865506445628935,1.2273088,-9.7187,0.4590095
865506455635969,1.5261488,-9.681499,0.33070642
865506465642969,1.7495937,-9.6462145,0.24436083
865506475652269,1.9505967,-9.609958,0.11786168
865506485656602,2.1604428,-9.565481,0.06490114
865506495661335,2.4035318,-9.507411,-0.047889
865506505668035,2.669797,-9.435391,-0.12532172
865506515674735,2.9063492,-9.363221,-0.23105018
865506525678668,3.1129134,-9.295361,-0.27637598
865506535686268,3.2802424,-9.2362,-0.32021755
865506545690968,3.480082,-9.161511,-0.3546863
865506555696634,3.697873,-9.071235,-0.45660228
865506565702200,3.9132164,-8.979343,-0.4777272
865506575704600,4.0925183,-8.8976345,-0.50354767
865506585713666,4.2896004,-8.799463,-0.58209884
865506595720399,4.4723673,-8.7028265,-0.65469515
865506605726765,4.6686807,-8.600143,-0.64130396
865506615733465,4.765949,-8.541924,-0.700935
865506625740198,4.735191,-8.556074,-0.7359258
865506635750864,4.7908235,-8.5289345,-0.6894518
865506645757564,4.9795156,-8.425118,-0.62603295
865506655761197,5.196245,-8.293545,-0.62141144
865506665773430,5.3724627,-8.179379,-0.636048
865506675775796,5.4934664,-8.092714,-0.7068787
865506685782496,5.5890574,-8.020713,-0.7751605
865506695789262,5.679376,-7.955513,-0.79033417
865506705800595,5.8203325,-7.856629,-0.75311714
865506715812361,5.9555197,-7.7513056,-0.78680724
865506725819027,6.068063,-7.6612945,-0.808185
865506735825727,6.185599,-7.554878,-0.9122022
865506745832493,6.3060093,-7.4510098,-0.9416008
865506755839193,6.4198074,-7.359939,-0.8873664
865506765849093,6.5174747,-7.269693,-0.91884243
865506775853559,6.619058,-7.181522,-0.8853866
865506785860259,6.731856,-7.0779243,-0.8689425
865506795866692,6.835111,-6.981951,-0.83879405
865506805873092,6.940356,-6.8803115,-0.8141976
865506815879492,7.057999,-6.755179,-0.8499218
865506825886192,7.162017,-6.6423945,-0.86821866
865506835892025,7.233547,-6.5555916,-0.93266845
865506845898791,7.2849708,-6.495986,-0.94939077
865506855905491,7.360402,-6.419118,-0.8885428
865506865912191,7.4837484,-6.2750998,-0.8869257
865506875918924,7.613773,-6.11923,-0.86918163
865506885923257,7.6932726,-6.015393,-0.8935872
865506895929957,7.7442303,-5.9470983,-0.9105383
865506905939590,7.781688,-5.8845644,-0.99355584
865506915946290,7.8376503,-5.8136916,-0.9706715
865506925952990,7.9218936,-5.6996436,-0.963133
865506935955756,8.020229,-5.5606856,-0.9617474
865506945962489,8.097774,-5.4447618,-0.97505444
865506955969155,8.117857,-5.4028583,-1.0391073
865506965970655,8.099933,-5.4268885,-1.0536458
865506975977388,8.1394825,-5.409379,-0.81081223
865506985984088,8.216746,-5.308061,-0.6925536
865506995990788,8.301681,-5.188898,-0.57228386
865507005992888,8.366716,-5.092643,-0.48258778
865507015994921,8.369898,-5.0801606,-0.55397934
865507026001654,8.36368,-5.0856957,-0.5953685
865507036006320,8.364243,-5.0704317,-0.70716023
865507046017053,8.354994,-5.05939,-0.87555456
865507056023753,8.400497,-4.9668245,-0.9654768
865507066027286,8.450249,-4.8803,-0.97265095
865507076033986,8.494809,-4.802965,-0.969494
865507086040719,8.561773,-4.6874666,-0.94539243
865507096047685,8.642371,-4.5557837,-0.8508916
865507106055418,8.703184,-4.441389,-0.83576876
865507116062118,8.72755,-4.391973,-0.843019
865507126068518,8.743157,-4.354896,-0.8729342
865507136074918,8.770474,-4.2974305,-0.88373154
865507146081351,8.824503,-4.1840734,-0.8898039
865507156087751,8.879699,-4.0810685,-0.81602633
865507166094451,8.913961,-4.0048985,-0.81988806
865507176105451,8.926404,-3.9715002,-0.846441
865507186111884,8.947001,-3.9302785,-0.82109547
865507196118584,8.971044,-3.8735092,-0.82844186
865507206122417,9.005361,-3.8082771,-0.755463
865507216129850,9.043814,-3.7008574,-0.82634956
865507226136583,9.078741,-3.6461809,-0.67216235
865507236142949,9.10176,-3.5850756,-0.6892988
865507246149349,9.1248455,-3.4854116,-0.87131685
865507256155815,9.138502,-3.375401,-1.1245828
865507266162215,9.166555,-3.3151147,-1.0743954
865507276168915,9.154782,-3.3254986,-1.1405206
865507286175648,9.145321,-3.381326,-1.0486583
865507296182381,9.151236,-3.3853364,-0.9819706
865507306189081,9.161912,-3.3803253,-0.8958884
865507316199514,9.1683855,-3.389268,-0.78967094
865507326206247,9.181465,-3.3775692,-0.68020314
865507336210080,9.210843,-3.3340275,-0.4632515
865507346212780,9.203431,-3.3345141,-0.5897039
865507356219513,9.197653,-3.327396,-0.7082895
865507366226246,9.221978,-3.1949313,-0.9578781
865507376232946,9.216564,-3.1425383,-1.1615897
865507386239646,9.20927,-3.1514509,-1.1948142
865507396246079,9.162534,-3.2632177,-1.2527637
865507406251779,9.144538,-3.2883565,-1.3168814
865507416258512,9.19959,-3.1802423,-1.1932274
865507426269345,9.2259655,-3.0767279,-1.258994
865507436276378,9.242477,-3.0252347,-1.2627956
865507446287678,9.24204,-2.9956524,-1.3343904
865507456294411,9.246273,-2.9751725,-1.3507975
865507466300844,9.29534,-2.9015768,-1.1608232
865507476302910,9.321491,-2.7910588,-1.2205343
865507486309610,9.356053,-2.6910288,-1.1801516
865507496319810,9.361262,-2.7454777,-0.999564
865507506326510,9.332291,-2.8989923,-0.8210811
865507516332210,9.320639,-2.9637837,-0.71532327
865507526338910,9.325105,-2.9599886,-0.671526
865507536349876,9.333055,-2.925865,-0.70972246
865507546362676,9.364121,-2.7830186,-0.8591361
865507556369642,9.380118,-2.6603432,-1.0515759
865507566376675,9.368644,-2.6284885,-1.2204566
865507576383408,9.347939,-2.6428537,-1.3421098
865507586390008,9.351199,-2.617925,-1.3680933
865507596396708,9.362045,-2.5725172,-1.3799407
865507606403441,9.372715,-2.5559216,-1.3377054
865507616406407,9.3897505,-2.5532417,-1.2179357
865507626417973,9.402557,-2.5283992,-1.17017
865507636424706,9.420196,-2.5023885,-1.0807658
865507646432372,9.429029,-2.4637582,-1.0924803
865507656439072,9.445602,-2.4231803,-1.0387563
865507666445772,9.445439,-2.4069517,-1.0770866
865507676452505,9.440326,-2.372694,-1.1918198
865507686459205,9.447216,-2.3403854,-1.201102
865507696466205,9.456641,-2.2638772,-1.2716008
865507706473205,9.466,-2.1954262,-1.3209891
865507716480238,9.476311,-2.159595,-1.3060335
865507726482838,9.481469,-2.126682,-1.3225045
865507736489238,9.509244,-2.0574744,-1.2292273
865507746491371,9.551272,-2.0064642,-0.95766664
865507756498371,9.546513,-1.9777138,-1.0596033
865507766505371,9.561474,-1.9635826,-0.9447955
865507776512371,9.55306,-1.9362297,-1.0770077
865507786519404,9.558828,-1.8960443,-1.0972145
865507796522337,9.559479,-1.853756,-1.161849
865507806529370,9.561034,-1.8030056,-1.2270855
865507816536403,9.556926,-1.7748302,-1.2980641
865507826543103,9.5679035,-1.7761511,-1.2126347
865507836545903,9.576951,-1.7428032,-1.1894419
865507846546836,9.559665,-1.7248029,-1.3446221
865507856553602,9.583715,-1.6673836,-1.2417719
