timestamp[ns],x[rad/s],y[rad/s],z[rad/s]
865506416607838,-0.15076092,0.8488834,0.79676497
865506418619838,-0.020035768,0.900196,0.74178714
865506420695338,0.10580248,0.6069808,0.60189897
865506422700338,0.14856303,0.34369785,0.5224865
865506424706588,0.2157582,-0.32031268,0.39298305
865506426710188,0.26462743,-0.4711964,0.26592305
865506428713354,0.2841751,-0.31114972,0.19506271
865506430715925,0.23164071,-0.30259758,0.08693956
865506432717300,0.16444553,-0.377734,-0.018740123
865506434719855,0.15650429,-0.2641131,-0.08227011
865506436737055,0.12840448,0.17876422,-0.20994096
865506438739418,0.10763507,0.36813244,-0.3266162
865506440740918,0.106413335,0.5465051,-0.38953534
865506442742379,0.11618718,1.0327538,-0.54225165
865506444744521,0.12596102,0.8268922,-0.6558726
865506446746454,0.09236343,0.6369131,-0.70718527
865506448748454,-0.0652398,0.06636501,-0.7682718
865506450751806,-0.2692688,-0.5096809,-0.72551125
865506452753750,-0.3547899,-0.68927526,-0.65404
865506454755539,-0.5160583,-0.19325271,-0.45611963
865506456757439,-0.57897747,0.20503142,-0.34188786
865506458758915,-0.5820318,0.8702637,-0.104261264
865506460760733,-0.48184988,1.2593849,0.10343292
865506462762167,-0.4152656,1.3088648,0.1706281
865506464767375,-0.2662145,0.95028704,0.23599067
865506466769135,-0.17214122,-0.0881839,0.2500406
865506468770904,-0.17153035,-0.79190063,0.2763078
865506470772644,-0.19107804,-1.7442396,0.3288422
865506472774001,-0.28515127,-1.6122928,0.41619593
865506474775725,-0.32180318,-1.248217,0.48583457
865506476779691,-0.263771,-0.25922617,0.61106193
865506478781024,-0.109832965,0.6711216,0.59334683
865506480778924,-0.0353074,0.8556029,0.54264504
865506482784824,0.075870074,0.7822991,0.41925025
865506484785857,0.14673044,0.31132197,0.31906837
865506486787190,0.14245439,0.15677308,0.25431663
865506488788523,0.052657194,-0.23356983,0.14924783
865506490789923,-0.037750863,-0.6807232,0.0582289
865506492791623,-0.1055569,-0.8603176,0.013024869
865506494792656,-0.17702813,-1.1126049,-0.073718
865506496789089,-0.17886074,-0.8438242,-0.14152403
865506498790122,-0.15015008,-0.5249526,-0.18917152
865506500794122,-0.07990056,0.13294932,-0.30095986
865506502795788,-0.111665554,0.2826113,-0.3724311
865506504803021,-0.11655247,0.17082296,-0.3846484
865506506804421,-0.11777421,0.0077219475,-0.386481
865506508805787,-0.16847603,-0.21218954,-0.35777032
865506510806353,-0.23444946,-0.29099116,-0.34249872
865506512808486,-0.32424667,-0.54511106,-0.26919487
