timestamp[ns],x[uT],y[uT],z[uT]
865506326951685,-45.48,-19.619999,3.3
865506336958685,-45.6,-19.56,2.8799999
865506346965685,-45.12,-19.56,1.92
865506357003351,-44.52,-19.68,1.3199999
865506367007851,-44.1,-19.32,1.02
865506377040651,-44.219997,-18.9,1.38
865506387047484,-44.28,-18.539999,1.86
865506397054055,-45.059998,-18.42,2.28
865506407060805,-45.12,-18.72,2.52
865506417066360,-44.399998,-18.84,2.58
865506427073160,-44.28,-19.02,2.58
865506437093341,-43.92,-19.02,2.58
865506447099924,-44.16,-19.02,2.7
865506457106693,-44.7,-19.56,2.8799999
865506467113407,-44.52,-19.26,2.9399998
865506477124673,-43.92,-18.9,2.76
865506487131423,-43.68,-18.779999,3.0
865506497138187,-43.739998,-18.72,2.76
865506507144909,-44.82,-19.199999,3.06
865506517151645,-45.3,-18.9,3.0
865506527158395,-45.42,-19.02,2.8799999
865506537166395,-45.3,-18.359999,2.34
865506547173031,-44.34,-18.0,1.3199999
865506557179770,-44.28,-18.779999,0.24
865506567186520,-44.52,-18.779999,-0.59999996
865506577193240,-44.28,-18.96,-1.5
865506587202701,-44.399998,-19.02,-2.52
865506597209441,-44.82,-18.84,-3.36
865506607215798,-44.399998,-18.6,-4.2599998
865506617222522,-44.399998,-19.199999,-4.38
865506627229255,-44.28,-19.74,-4.14
865506637239921,-44.04,-19.619999,-3.6599998
865506647246621,-44.1,-19.74,-3.4199998
865506657250254,-43.98,-19.199999,-3.6
865506667262487,-43.98,-18.6,-3.72
865506677264853,-43.379997,-18.84,-4.14
865506687271553,-42.899998,-18.72,-4.74
865506697278319,-42.899998,-19.08,-5.16
865506707289652,-42.84,-19.38,-5.46
865506717301418,-43.32,-19.14,-5.2799997
865506727308084,-43.62,-19.199999,-4.7999997
865506737314784,-43.98,-19.02,-4.2
865506747321550,-44.16,-19.26,-4.02
865506757328250,-43.92,-19.32,-3.8999999
865506767338150,-44.04,-19.26,-3.4199998
865506777342616,-43.559998,-19.619999,-3.1799998
865506787349316,-43.8,-19.199999,-3.12
865506797355749,-43.5,-18.9,-2.82
865506807362149,-43.68,-18.66,-3.3
865506817368549,-43.8,-18.119999,-3.48
865506827375249,-43.559998,-18.18,-3.36
865506837381082,-44.1,-18.18,-3.36
865506847387848,-43.559998,-18.66,-3.36
865506857394548,-43.739998,-18.72,-3.6599998
865506867401248,-44.04,-18.72,-3.6
865506877407981,-44.16,-18.779999,-3.36
865506887412314,-44.82,-18.359999,-3.12
865506897419014,-44.7,-18.42,-2.7
865506907428647,-44.7,-18.42,-3.12
865506917435347,-44.52,-18.9,-3.8999999
865506927442047,-44.46,-19.14,-4.2599998
865506937444813,-44.82,-19.02,-4.2
865506947451546,-45.059998,-18.84,-4.08
865506957458212,-44.879997,-18.42,-3.78
865506967459712,-44.7,-18.66,-3.54
865506977466445,-44.219997,-18.66,-3.84
865506987473145,-43.8,-18.6,-3.36
865506997479845,-43.68,-18.84,-3.48
865507007481945,-43.44,-18.6,-4.2
865507017483978,-43.44,-19.14,-4.92
865507027490711,-43.379997,-19.439999,-6.06
865507037495377,-43.559998,-19.32,-6.72
865507047506110,-43.8,-19.38,-6.66
865507057512810,-43.8,-19.38,-6.06
865507067516343,-43.8,-19.26,-5.1
865507077523043,-43.68,-19.32,-4.2599998
865507087529776,-43.559998,-19.199999,-3.78
865507097536742,-43.98,-18.84,-3.36
865507107544475,-44.219997,-19.26,-3.3
865507117551175,-43.92,-19.5,-3.1799998
865507127557575,-43.68,-20.1,-2.52
865507137563975,-43.44,-20.16,-2.9399998
865507147570408,-43.2,-19.92,-2.52
865507157576808,-43.62,-20.039999,-2.46
865507167583508,-43.8,-19.439999,-3.0
865507177594508,-43.5,-19.74,-2.7
865507187600941,-43.14,-19.92,-3.54
865507197607641,-42.84,-19.8,-3.84
865507207611474,-43.079998,-19.68,-3.72
865507217618907,-43.559998,-19.56,-3.84
865507227625640,-44.1,-19.26,-3.72
865507237632006,-44.28,-19.439999,-3.78
865507247638406,-43.98,-19.5,-4.5
865507257644872,-43.8,-19.68,-5.2799997
865507267651272,-44.04,-20.039999,-5.3399997
865507277657972,-43.8,-20.1,-5.8199997
865507287664705,-43.86,-20.58,-5.64
865507297671438,-43.92,-20.34,-5.64
865507307678138,-43.32,-20.1,-5.7599998
865507317688571,-43.26,-19.56,-5.2799997
865507327695304,-43.02,-19.619999,-5.52
865507337699137,-42.78,-19.68,-5.46
865507347701837,-42.719997,-19.98,-5.94
865507357708570,-42.6,-20.52,-6.48
865507367715303,-43.14,-20.46,-6.8999996
865507377722003,-43.379997,-20.279999,-6.0
865507387728703,-43.079998,-20.16,-4.5
865507397735136,-43.559998,-19.92,-3.06
865507407740836,-43.379997,-19.619999,-0.78
865507417747569,-43.44,-19.68,0.0
865507427758402,-44.399998,-19.26,0.48
865507437765435,-44.34,-19.199999,1.02
865507447776735,-44.219997,-19.32,0.59999996
865507457783468,-43.8,-19.5,0.59999996
865507467789901,-44.1,-19.8,1.02
865507477791967,-44.04,-19.439999,0.96
865507487798667,-44.52,-19.14,0.9
865507497808867,-45.059998,-19.08,1.0799999
865507507815567,-44.64,-18.9,0.59999996
865507517821267,-44.879997,-19.74,0.71999997
865507527827967,-44.64,-19.74,0.42
865507537838933,-44.399998,-19.439999,-0.12
865507547851733,-44.34,-19.32,-0.35999998
865507557858699,-43.92,-18.84,-0.48
865507567865732,-44.46,-19.14,0.17999999
865507577872465,-44.28,-19.74,0.84
865507587879065,-43.5,-20.279999,1.26
865507597885765,-43.68,-20.46,1.62
865507607892498,-42.78,-20.58,2.46
865507617895464,-42.36,-19.74,2.7
865507627907030,-42.96,-19.92,2.7
865507637913763,-43.26,-19.74,2.6399999
865507647921429,-43.32,-19.8,1.8
865507657928129,-43.86,-19.92,1.0799999
865507667934829,-43.68,-19.439999,0.71999997
865507677941562,-43.739998,-19.68,0.24
865507687948262,-44.16,-19.439999,0.59999996
865507697955262,-44.34,-20.039999,1.02
865507707962262,-44.04,-20.16,1.68
865507717969295,-43.92,-20.1,2.7
865507727971895,-43.86,-20.4,3.0
865507737978295,-43.86,-20.34,3.9599998
865507747980428,-44.1,-20.16,4.3199997
865507757987428,-43.62,-20.16,4.14
865507767994428,-43.14,-19.98,4.14
865507778001428,-42.54,-19.74,3.48
865507788008461,-42.899998,-19.8,2.76
865507798011394,-43.44,-19.619999,2.58
865507808018427,-43.8,-19.56,2.7
865507818025460,-44.219997,-19.68,3.12
865507828032160,-44.7,-20.1,3.84
865507838034960,-44.399998,-19.8,4.2599998
865507848035893,-44.219997,-19.68,3.84
865507858042659,-44.219997,-20.279999,3.24
865507868049359,-43.68,-19.74,3.0
865507878056059,-43.5,-20.4,2.34
865507888062892,-43.68,-20.58,2.58
865507898069592,-44.219997,-20.22,2.9399998
865507908082658,-44.34,-20.279999,3.0
865507918089391,-44.64,-19.8,3.24
865507928091257,-44.46,-19.8,2.76
865507938097957,-43.739998,-19.56,2.46
865507948103423,-43.8,-20.039999,2.7
865507958110156,-43.559998,-19.68,2.58
865507968116856,-43.86,-19.14,3.0
865507978123556,-43.8,-19.26,3.24
865507988130289,-43.68,-18.9,2.22
865507998141522,-43.559998,-19.38,1.74
865508008148255,-42.48,-20.039999,0.17999999
865508018161421,-42.48,-19.92,-1.26
865508028168454,-41.879997,-19.92,-2.04
865508038175454,-41.579998,-19.619999,-2.52
865508048182454,-42.48,-19.56,-2.46
865508058194354,-42.42,-20.039999,-2.58
865508068201054,-42.719997,-20.46,-2.52
865508078207820,-42.66,-20.16,-3.1799998
865508088214520,-42.6,-19.859999,-3.48
865508098221553,-42.66,-19.439999,-3.72
865508108228253,-43.079998,-19.08,-4.38
865508118234953,-43.2,-19.439999,-4.02
865508128241686,-43.2,-20.039999,-4.3199997
865508138248419,-42.899998,-20.16,-3.6599998
865508148259152,-42.54,-19.92,-3.24
865508158265852,-42.239998,-20.16,-3.9599998
865508168272585,-42.18,-19.439999,-3.12
865508178278985,-42.12,-19.56,-3.84
865508188285618,-42.18,-19.8,-4.08
865508198292284,-43.02,-19.619999,-3.1799998
865508208292650,-42.96,-19.619999,-3.24
865508218299350,-43.44,-19.14,-3.0
865508228305983,-43.559998,-19.08,-2.34
865508238312716,-42.84,-19.02,-2.8799999
865508248319716,-42.42,-19.38,-3.78
865508258331582,-42.12,-19.619999,-4.02
865508268338315,-42.059998,-19.439999,-4.2599998
865508278345048,-41.82,-19.619999,-4.44
865508288351748,-42.059998,-19.859999,-3.9599998
865508298353948,-42.12,-19.859999,-3.8999999
865508308364281,-42.059998,-20.16,-3.8999999
865508318364514,-42.6,-19.56,-3.36
865508328373980,-42.42,-19.32,-3.3
865508338380713,-42.54,-19.199999,-3.06
865508348387446,-42.54,-19.26,-3.6599998
865508358388979,-42.54,-19.56,-4.02
865508368395712,-42.6,-19.56,-3.84
865508378402445,-42.78,-19.859999,-3.6
865508388409145,-42.84,-19.439999,-3.1799998
865508398415545,-42.84,-19.56,-3.3
865508408422278,-42.899998,-19.02,-3.0
865508418429011,-42.66,-18.48,-3.12
865508428435711,-42.96,-18.96,-2.7
865508438442411,-42.899998,-18.84,-2.1
865508448445111,-42.899998,-19.26,-2.9399998
865508458451811,-42.84,-19.74,-3.3
865508468458511,-42.18,-19.68,-3.6599998
865508478465544,-42.18,-19.92,-3.84
865508488474710,-42.059998,-19.68,-3.36
865508498481443,-42.059998,-19.199999,-3.24
865508508488143,-42.6,-19.02,-3.0
865508518494876,-42.12,-19.14,-3.12
865508528501609,-42.3,-19.26,-3.4199998
865508538508309,-42.48,-19.74,-3.78
865508548515042,-42.0,-19.859999,-4.3199997
865508558516608,-42.059998,-20.039999,-4.74
865508568523308,-42.12,-20.22,-4.68
865508578529941,-41.94,-20.1,-4.38
865508588536607,-42.0,-19.68,-3.9599998
865508598543273,-42.12,-19.38,-3.36
865508608546173,-42.719997,-19.199999,-3.0
865508618552906,-42.66,-19.38,-3.3
865508628556872,-42.899998,-19.859999,-3.54
865508638563572,-42.84,-20.1,-4.44
865508648572238,-42.54,-20.34,-4.98
865508658578971,-42.6,-20.1,-4.68
865508668585671,-42.6,-20.1,-4.98
865508678592371,-42.48,-20.039999,-4.5
865508688603537,-42.059998,-19.92,-4.5
865508698610570,-42.059998,-20.1,-4.74
865508708617270,-41.82,-20.22,-4.44
865508718623970,-42.059998,-20.039999,-4.2599998
865508728630636,-42.12,-20.1,-3.6599998
865508738637336,-42.059998,-19.619999,-3.84
865508748644002,-42.0,-19.68,-3.78
865508758650735,-42.12,-19.74,-4.2
865508768657468,-41.94,-19.5,-4.38
865508778664168,-41.879997,-19.8,-4.5
865508788668501,-41.879997,-19.38,-4.62
865508798675267,-41.34,-19.38,-4.14
865508808681967,-41.399998,-19.98,-4.5
865508818688667,-41.52,-19.98,-4.14
865508828695433,-41.399998,-19.98,-3.9599998
865508838702166,-41.579998,-19.92,-4.44
865508848708832,-41.64,-19.68,-4.56
865508858715532,-41.1,-19.619999,-4.62
865508868722265,-41.1,-19.619999,-4.56
865508878729031,-41.16,-19.98,-3.8999999
865508888735797,-40.739998,-19.859999,-3.4199998
865508898742563,-40.68,-20.4,-3.1799998
865508908749263,-40.62,-20.4,-3.72
865508918755963,-40.26,-20.279999,-4.92
865508928765429,-40.86,-20.279999,-5.8799996
865508938772162,-41.219997,-20.039999,-6.48
865508948776862,-41.28,-19.68,-6.06
865508958783562,-41.64,-19.439999,-6.0
865508968790262,-41.64,-19.26,-5.1
865508978796862,-41.94,-19.08,-4.8599997
865508988799128,-42.42,-19.08,-5.04
865508998805828,-42.36,-18.84,-4.2599998
865509008812328,-41.76,-19.02,-4.44
865509018819028,-41.28,-18.96,-4.7999997
865509028827561,-40.739998,-19.56,-4.74
865509038834294,-40.98,-19.8,-5.1
865509048840994,-41.579998,-19.619999,-5.7
865509058847694,-41.76,-19.439999,-5.8199997
865509068854394,-42.48,-19.26,-5.52
865509078861127,-42.12,-19.199999,-5.22
865509088870227,-41.76,-19.38,-4.2599998
865509098876927,-41.76,-19.439999,-3.78
865509108883660,-40.92,-19.32,-4.2599998
865509118890393,-40.92,-19.56,-4.5
865509128903659,-41.28,-19.199999,-4.98
865509138910359,-41.16,-19.32,-5.1
865509148917059,-41.46,-19.26,-5.16
865509158923759,-41.76,-19.08,-5.04
865509168930392,-42.059998,-19.32,-5.16
865509178937125,-42.18,-19.56,-4.98
865509188943858,-42.0,-19.619999,-4.2599998
865509198950558,-41.46,-19.619999,-4.62
865509208957291,-41.1,-19.619999,-4.2
865509218963957,-41.34,-19.199999,-4.38
865509228970690,-41.16,-19.199999,-5.04
865509238977390,-41.7,-19.08,-4.74
865509248985090,-41.28,-19.26,-5.3399997
865509258991756,-41.28,-19.68,-5.46
865509268998489,-41.16,-19.68,-5.1
865509279005289,-40.98,-19.92,-5.2799997
865509289012022,-41.46,-20.039999,-4.98
865509299663530,-40.98,-20.039999,-4.98
865509309670396,-41.219997,-20.279999,-5.04
865509319677129,-41.16,-20.4,-4.92
865509329682095,-41.34,-19.74,-4.98
865509339688795,-41.82,-19.92,-5.1
865509349695261,-41.64,-20.16,-5.2799997
865509359701994,-41.46,-20.16,-5.58
865509369708694,-40.68,-20.82,-5.94
865509379715394,-40.5,-20.82,-6.12
865509389719727,-40.8,-20.46,-6.0
865509399726127,-40.92,-20.16,-6.0
865509409732527,-41.16,-20.16,-5.8799996
865509419738927,-41.28,-19.8,-5.46
865509429739093,-41.16,-19.5,-5.1
865509439745793,-41.399998,-19.38,-4.68
865509449752559,-41.34,-19.08,-3.8999999
865509459758992,-40.98,-18.84,-3.54
865509469765458,-40.8,-18.96,-3.54
865509479772158,-40.559998,-19.32,-3.4199998
865509489784291,-40.8,-19.26,-3.8999999
865509499791024,-40.68,-19.439999,-3.78
865509509797924,-41.04,-19.68,-3.84
865509519804690,-41.34,-19.14,-4.02
865509529808623,-41.76,-19.14,-3.8999999
865509539815356,-42.12,-19.439999,-4.3199997
