timestamp[ns],frame
865506211615684,1640
865506242616569,1641
865506275762030,1642
865506309001607,1643
865506341150376,1644
865506375703645,1645
865506404620299,1646
865506439180722,1647
865506474879415,1648
865506506069068,1649
865506539997722,1650
865506570560068,1651
865506602601761,1652
865506638786684,1653
865506669732684,1654
865506703542337,1655
865506738753876,1656
865506771352991,1657
865506804710914,1658
865506840525491,1659
865506872561030,1660
865506904914568,1661
865506943080568,1662
865506971688953,1663
865507004028453,1664
865507038479683,1665
865507074796529,1666
865507105166683,1667
865507139833068,1668
865507173731260,1669
865507205660068,1670
865507239392914,1671
865507272956606,1672
865507305948222,1673
865507336990068,1674
865507372109106,1675
865507405311645,1676
865507439615298,1677
865507473876683,1678
865507503191337,1679
865507537312798,1680
865507572214221,1681
865507605842144,1682
865507639764221,1683
865507676489491,1684
865507706505567,1685
865507750432106,1686
865507780893644,1687
865507820419490,1688
865507846389529,1689
865507877672414,1690
865507908862952,1691
865507936873644,1692
865507976214721,1693
865508007014683,1694
865508039743567,1695
865508071528144,1696
865508107701529,1697
865508142303259,1698
865508175960529,1699
865508215014490,1700
865508245113259,1701
865508281102644,1702
865508321364913,1703
865508355245413,1704
865508382191413,1705
865508410301644,1706
865508440337028,1707
865508473277567,1708
865508506156182,1709
865508539322221,1710
865508571348605,1711
865508604303182,1712
865508637990413,1713
865508674791682,1714
865508707211951,1715
865508737260644,1716
865508771383836,1717
865508804254682,1718
865508839104990,1719
865508872311528,1720
865508906286182,1721
865508938348990,1722
865508971736797,1723
865509003976567,1724
865509038174797,1725
865509069536990,1726
865509103361490,1727
865509139598990,1728
865509173494066,1729
865509208346874,1730
865509236515836,1731
865509269541528,1732
865509304917220,1733
865509341259489,1734
865509370867797,1735
865509405029989,1736
865509439619105,1737
865509474955182,1738
865509508494335,1739
865509539491528,1740
865509570507297,1741
865509602513835,1742
865509634350066,1743
865509670193105,1744
865509701766758,1745
865509734972835,1746
865509770552604,1747
865509801350258,1748
865509836597258,1749
865509872051912,1750
865509902892566,1751
865509933649951,1752
865509971932412,1753
865510005802720,1754
865510037172912,1755
865510072974566,1756
865510103765373,1757
865510141163989,1758
865510170666335,1759
865510201659527,1760
865510233130989,1761
865510267285873,1762
865510301500489,1763
865510334850873,1764
865510367661950,1765
865510401423835,1766
865510435760681,1767
865510469319142,1768
865510507472296,1769
865510539267565,1770
865510570099142,1771
865510601550488,1772
865510634748104,1773
865510667454642,1774
865510700900027,1775
865510738871258,1776
865510769180027,1777
865510804359873,1778
865510839108988,1779
865510869856565,1780
865510901866719,1781
865510938066065,1782
865510973077796,1783
865511002404411,1784
865511035973104,1785
865511077339719,1786
865511104975027,1787
865511133643719,1788
865511166384873,1789
865511200237103,1790
865511241865757,1791
865511270554450,1792
865511303709142,1793
865511336449603,1794
865511368297373,1795
865511400718526,1796
865511434375449,1797
865511472572603,1798
865511509525488,1799
865511540172834,1800
865511569687488,1801
865511602079642,1802
865511635042142,1803
865511667061526,1804
865511701084680,1805
865511736779218,1806
865511767636603,1807
865511801752411,1808
865511835169834,1809
865511868058603,1810
865511900437488,1811
865511939730064,1812
865511973963449,1813
865512001580295,1814
865512035215180,1815
865512067082872,1816
865512103644872,1817
865512136228372,1818
865512168026987,1819
865512201889564,1820
865512235650526,1821
865512268774603,1822
865512300867949,1823
865512334578218,1824
865512368360372,1825
865512401726180,1826
865512433677949,1827
865512469291987,1828
865512504687679,1829
865512539189064,1830
865512570460218,1831
865512600667910,1832
865512634709141,1833
865512667764872,1834
865512701457718,1835
865512734206833,1836
865512767413372,1837
865512801193872,1838
865512835832295,1839
865512866656410,1840
865512902762487,1841
865512934021948,1842
865512967096948,1843
865513000927948,1844
865513033704871,1845
865513067115756,1846
865513101920487,1847
865513135367987,1848
